city,rank,holiday,price,holidaySavings,latitude,longitude,link
Mont-Tremblant,5,Martin Luther King Jr. Weekend,179,0.2378,46.1184616,-74.59618525,"https://search.google.com/local/places/hotel/categorical?q=mont-tremblant+canada+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Cancún,6,Martin Luther King Jr. Weekend,164,0.217,21.16190796,-86.85152791,"https://search.google.com/local/places/hotel/categorical?q=cancun+mexico+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Quebec City,7,Martin Luther King Jr. Weekend,116,0.1753,46.81387827,-71.20798086,"https://search.google.com/local/places/hotel/categorical?q=quebeccity+canada+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Madison,8,Martin Luther King Jr. Weekend,127,0.1379,43.07305172,-89.40123018,"https://search.google.com/local/places/hotel/categorical?q=madison+wisconsin+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Gatlinburg,9,Martin Luther King Jr. Weekend,134,0.1377,35.71425898,-83.51016382,"https://search.google.com/local/places/hotel/categorical?q=gatlinburg+tennessee+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
London,10,Martin Luther King Jr. Weekend,119,0.1187,51.50735089,-0.12775828,"https://search.google.com/local/places/hotel/categorical?q=london+england+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Honolulu,1,Presidents' Day Weekend,405,0.2235,21.30694437,-157.8583333,"https://search.google.com/local/places/hotel/categorical?q=honolulu+hawaii+hotels&hotel_dates=2019-02-15,2019-02-18&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Indianapolis,2,Presidents' Day Weekend,160,0.1982,39.76840297,-86.158068,"https://search.google.com/local/places/hotel/categorical?q=indianapolis+indiana+hotels&hotel_dates=2019-02-15,2019-02-18&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Paris,3,Presidents' Day Weekend,178,0.1619,48.856614,2.352221861,"https://search.google.com/local/places/hotel/categorical?q=paris+france+hotels&hotel_dates=2019-02-15,2019-02-18&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Mexico City,4,Presidents' Day Weekend,97,0.1417,19.43260769,-99.133208,"https://search.google.com/local/places/hotel/categorical?q=mexicocity+mexico+hotels&hotel_dates=2019-02-15,2019-02-18&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Phoenix,1,Spring Break,142,0.4768,33.44837712,-112.0740373,"https://search.google.com/local/places/hotel/categorical?q=phoenix+arizona+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Miami,2,Spring Break,244,0.4046,25.76167983,-80.19179023,"https://search.google.com/local/places/hotel/categorical?q=miami+florida+hotels&hotel_dates=2019-04-20,2019-04-28&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Shanghai,3,Spring Break,118,0.3867,31.23039042,121.4737021,"https://search.google.com/local/places/hotel/categorical?q=shanghai+china+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
San Francisco,4,Spring Break,277,0.3221,37.77492951,-122.4194155,"https://search.google.com/local/places/hotel/categorical?q=sanfrancisco+california+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
São Paulo,5,Spring Break,65,0.3058,-23.55051994,-46.63330942,"https://search.google.com/local/places/hotel/categorical?q=saopaulo+brazil+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Tokyo,6,Spring Break,150,0.3009,35.68948753,139.6917064,"https://search.google.com/local/places/hotel/categorical?q=tokyo+japan+hotels&hotel_dates=2019-04-20,2019-04-28&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Punta Cana,7,Spring Break,309,0.2937,18.58201013,-68.4054729,"https://search.google.com/local/places/hotel/categorical?q=puntacana+dominicanrepublic+hotels&hotel_dates=2019-04-20,2019-04-28&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Austin,8,Spring Break,163,0.2809,30.26715296,-97.74306082,"https://search.google.com/local/places/hotel/categorical?q=austin+texas+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Stockholm,9,Spring Break,136,0.2293,59.32932346,18.06858083,"https://search.google.com/local/places/hotel/categorical?q=stockholm+sweden+hotels&hotel_dates=2019-04-13,2019-04-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Tampa,10,Spring Break,193,0.1945,27.95057496,-82.45717762,"https://search.google.com/local/places/hotel/categorical?q=tampa+florida+hotels&hotel_dates=2019-04-20,2019-04-28&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Chicago,1,Fourth of July,199,0.47,41.8781,-87.6298
Washington DC,2,Fourth of July,218,0.45,38.9072,-77.0369
Bali,3,Fourth of July,119,0.44,-8.3405,115.092
Florence,4,Fourth of July,162,0.43,43.7696,11.2558
Philadelphia,5,Fourth of July,201,0.43,39.9526,-75.1652
Boston,6,Fourth of July,305,0.39,42.3601,-71.0589
New York City,7,Fourth of July,261,0.39,40.7128,-74.006
San Francisco,8,Fourth of July,302,0.37,37.7749,-122.4194
Brisbane,9,Fourth of July,118,0.33,-27.4698,153.0251
Baltimore,10,Fourth of July,169,0.22,39.2904,-76.6122
Da Nang,1,Memorial Day,65,0.47,16.0544,108.2022
Kyoto,2,Memorial Day,176,0.37,35.0116,135.7681
Dubai,3,Memorial Day,90,0.37,25.2048,55.2708
Dallas,4,Memorial Day,154,0.35,32.7767,-96.797
New Orleans,5,Memorial Day,214,0.34,29.9511,-90.0715
Phoenix,6,Memorial Day,168,0.33,33.4484,-112.074
Boston,7,Memorial Day,328,0.28,42.3601,-71.0589
Austin,8,Memorial Day,211,0.25,30.2672,-97.7431
Nashville,9,Memorial Day,244,0.23,36.1627,-86.7816
Washington DC,10,Memorial Day,236,0.23,38.9072,-77.0369
Numazu,1,Labor Day,162,0.66,35.095607,138.86354
Salou,2,Labor Day,129,0.51,41.077746,1.131593
Rivazzurra,3,Labor Day,81,0.45,44.037769,12.613805
Mazatlán,4,Labor Day,91,0.43,23.249415,-106.411142
Edinburgh,5,Labor Day,161,0.39,55.953252,-3.188267
Tampa,6,Labor Day,150,0.35,27.950575,-82.457178
Seattle,7,Labor Day,179,0.33,47.606209,-122.332071
Chicago,8,Labor Day,186,0.31,41.878114,-87.629798
Madison,9,Labor Day,162,0.27,43.073052,-89.40123
Ocean City,10,Labor Day,233,0.27,38.336503,-75.084906
